PRODUCTID,RECALLEVENTID,PRODUCTTYPESHORT,FIRMCITYNAM,FIRMCOUNTRYNAM,PHASETXT,RECALLINITIATIONDT,FIRMLEGALNAM,DISTRIBUTIONAREASUMMARYTXT,CENTERCD,FIRMSTATEPRVNCNAM,CENTERCLASSIFICATIONDT,TERMINATIONDT,CENTERCLASSIFICATIONTYPETXT,ENFORCEMENTREPORTDT,EVENTLMD,PRODUCTDESCRIPTIONTXT,PRODUCTSHORTREASONTXT,RECALLNUM,PRODUCTDISTRIBUTEDQUANTITY,RID
191838,89520,Devices,Mahwah,United States,Terminated,12/30/2021,Howmedica Osteonics Corp.,The product was distributed to the following US states: MI,CDRH,New Jersey,02/17/2022,03/14/2024,2,02/23/2022,03/14/2024,"Exeter V40 Cemented Hip (150mm) Stem, Part Number 0580-1-440",There is a potential label mix between certain lots of Exeter V40 Cemented Hip (125mm) Stem and Exeter V40 Cemented Hip (150mm) Stem.,Z-0652-2022,58 devices,19
191837,89520,Devices,Mahwah,United States,Terminated,12/30/2021,Howmedica Osteonics Corp.,The product was distributed to the following US states: MI,CDRH,New Jersey,02/17/2022,03/14/2024,2,02/23/2022,03/14/2024,"Exeter V40 Cemented Hip (125mm) Stem, Part Number 0580-1-044",There is a potential label mix between certain lots of Exeter V40 Cemented Hip (125mm) Stem and Exeter V40 Cemented Hip (150mm) Stem.,Z-0651-2022,59 devices,18
191262,89323,Drugs,East Windsor,United States,Terminated,12/29/2021,Aurobindo Pharma USA Inc.,Nationwide in the US,CDER,New Jersey,01/24/2022,12/04/2023,2,02/02/2022,05/16/2024,"Pioglitazone Tablets USP, 45 mg, 500 count bottles, Distributed by: Aurobindo Pharma USA, Inc., East Windsor, NJ -- NDC 57237-221-05",Superpotent and Failed Tablet/Capsule Specifications,D-0450-2022,792 bottles,29
191358,89367,Devices,Belgrade,United States,Terminated,12/29/2021,XTANT Medical,"U.S.: CA, MI, NV, and TX 

O.U.S.: Portugal",CDRH,Montana,01/28/2022,06/17/2024,2,02/09/2022,06/17/2024,"X060-0270, 8mm Titanium Insert, Axle Interspinous Fusion System.",The proximal opening of the inserts exhibit an out of specification condition which would prevent the crossbar plates from appropriately engaging with the insert.,Z-0533-2022,24 devices,28
180495,85314,Devices,Bothell,United States,Terminated,12/30/2019,Solta Medical Inc,"US - AK, AR, AZ, CA, FL, GA, IL, NY, PA, TX. UT, and WA

OUS -Japan, Korea, Malaysia, Singapore, Taiwan, and Thailand.",CDRH,Washington,04/07/2020,04/29/2024,2,04/15/2020,04/29/2024,"Thermage Face Tip 3.0, REF/UDI: TTNS3,00C3-400/UDI (01)000850608002377; REF TTNS3.00C3-600/UDI (01)000850608002384; REF TTNS3.00C3-900; UDI (01)000850608002391  Used in dermatologic and general surgical procedures for electrocoagulation and hemostasis.",Complaints of sparking of the tips of the electrosurgical device used in RF surgical procedures. The use of the affected treatment tips could contribute to potential skin burns.,Z-1681-2020,4472 units,20
170232,81887,Drugs,East Windsor,United States,Ongoing,12/31/2018,Aurobindo Pharma USA Inc.,Product was distributed to 25 distributors and Retail Chains who may have further distributed the product throughout the United States.,CDER,New Jersey,01/14/2019,,2,01/23/2019,05/16/2024,"Valsartan and Hydrochlorothiazide tablets USP 320 mg/25 mg, 90-count bottles, Rx Only, Manufactured for: Aurobindo Pharma USA, Inc., Dayton, NJ 08810. NDC 65862-551-90.
","CGMP Deviations: FDA lab confirmed presence an impurity, N-nitrosodimethylamine (NDEA) contained in the API used to manufacture the product above the interim acceptable daily intake level of 0.083 parts per million.",D-0367-2019,"111,239 bottles",4
170234,81887,Drugs,East Windsor,United States,Ongoing,12/31/2018,Aurobindo Pharma USA Inc.,Product was distributed to 25 distributors and Retail Chains who may have further distributed the product throughout the United States.,CDER,New Jersey,01/14/2019,,2,01/23/2019,05/16/2024,"Valsartan and Hydrochlorothiazide tablets USP 160 mg/25 mg, 90-count bottle, Rx Only, Manufactured for: Aurobindo Pharma USA, Inc., Dayton, NJ 08810. NDC 65862-549-90.","CGMP Deviations: FDA lab confirmed presence an impurity, N-nitrosodimethylamine (NDEA) contained in the API used to manufacture the product above the interim acceptable daily intake level of 0.083 parts per million.",D-0369-2019,"53,064 bottles",7
170977,82114,Drugs,East Windsor,United States,Ongoing,12/31/2018,Aurobindo Pharma USA Inc.,Product was distributed to major distribution chains throughout the United States.,CDER,New Jersey,03/21/2019,,2,03/27/2019,05/16/2024,"Valsartan Tablets USP 320 mg, 90 count bottles, Rx only,  Distributed by: Aurobindo Pharma USA, Inc., Dayton, NJ --- NDC 65862-573-90","GCMP Deviations: FDA analysis confirmed presence of trace amounts of an impurity, N-nitrosodiethylamine (NDEA) found in the API used to manufacture the product.",D-1035-2019,,3
170231,81887,Drugs,East Windsor,United States,Ongoing,12/31/2018,Aurobindo Pharma USA Inc.,Product was distributed to 25 distributors and Retail Chains who may have further distributed the product throughout the United States.,CDER,New Jersey,01/14/2019,,2,01/23/2019,05/16/2024,"Valsartan and Hydrochlorothiazide tablets USP 160mg/12.5 mg, 90-count bottle, Rx Only, Manufactured for: Aurobindo Pharma USA, Inc., Dayton, NJ 08810. NDC 65862-548-90.","CGMP Deviations: FDA lab confirmed presence an impurity, N-nitrosodimethylamine (NDEA) contained in the API used to manufacture the product above the interim acceptable daily intake level of 0.083 parts per million.",D-0366-2019,"92,616 bottles",8
171206,82114,Drugs,East Windsor,United States,Ongoing,12/31/2018,Aurobindo Pharma USA Inc.,Product was distributed to major distribution chains throughout the United States.,CDER,New Jersey,03/21/2019,,2,03/27/2019,05/16/2024,"Valsartan Tablets USP 160 mg, 90 count bottles, Rx only, Distributed by: Aurobindo Pharma USA, Inc., Dayton, NJ --- NDC 65862-572-90","GCMP Deviations: FDA analysis confirmed presence of trace amounts of an impurity, N-nitrosodiethylamine (NDEA) found in the API used to manufacture the product.",D-1039-2019,,17
170978,82114,Drugs,East Windsor,United States,Ongoing,12/31/2018,Aurobindo Pharma USA Inc.,Product was distributed to major distribution chains throughout the United States.,CDER,New Jersey,03/21/2019,,2,03/27/2019,05/16/2024,"Amlodipine and Valsartan Tablets USP 10mg/160mg, 30 count bottles, Manufactured for: Aurobindo Pharma USA, Inc., Dayton, NJ Manufactured by: Aurobindo Pharma Limited, India --- NDC 65862-739-30","GCMP Deviations: FDA analysis confirmed presence of trace amounts of an impurity, N-nitrosodiethylamine (NDEA) found in the API used to manufacture the product.",D-1036-2019,,16
171204,82114,Drugs,East Windsor,United States,Ongoing,12/31/2018,Aurobindo Pharma USA Inc.,Product was distributed to major distribution chains throughout the United States.,CDER,New Jersey,03/21/2019,,2,03/27/2019,05/16/2024,"Valsartan Tablets USP 40 mg, 30 count bottles, Rx only,  Distributed by: Aurobindo Pharma USA, Inc., Dayton, NJ --- NDC 65862-570-30","GCMP Deviations: FDA analysis confirmed presence of trace amounts of an impurity, N-nitrosodiethylamine (NDEA) found in the API used to manufacture the product.",D-1037-2019,,15
171205,82114,Drugs,East Windsor,United States,Ongoing,12/31/2018,Aurobindo Pharma USA Inc.,Product was distributed to major distribution chains throughout the United States.,CDER,New Jersey,03/21/2019,,2,03/27/2019,05/16/2024,"Valsartan Tablets USP 80 mg, 90 count bottles, Rx only, Distributed by: Aurobindo Pharma USA, Inc., Dayton, NJ --- NDC 65862-571-90","GCMP Deviations: FDA analysis confirmed presence of trace amounts of an impurity, N-nitrosodiethylamine (NDEA) found in the API used to manufacture the product.",D-1038-2019,,14
